Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,201.639999,201.639999,199.710007,200.309998,199.794617,128800
2021-06-08,200.279999,201.369995,199.479996,201.000000,200.482849,79100
2021-06-09,201.160004,201.160004,198.869995,198.929993,198.418167,107800
2021-06-10,199.910004,200.300003,197.660004,197.860001,197.350922,82000
2021-06-11,198.330002,199.119995,197.479996,198.529999,198.019196,133200
2021-06-14,198.350006,198.559998,196.649994,197.460007,196.951965,186700
2021-06-15,197.649994,198.460007,196.960007,198.089996,197.580338,151500
2021-06-16,197.970001,198.029999,195.630005,196.250000,195.745071,143100
2021-06-17,196.220001,196.729996,191.529999,193.309998,192.812637,205700
2021-06-18,191.440002,192.399994,190.509995,190.830002,190.339020,250400
2021-06-21,192.199997,195.080002,192.050003,194.820007,194.318756,327600
2021-06-22,194.679993,196.080002,193.830002,195.520004,195.016953,152500
2021-06-23,195.860001,196.399994,195.110001,195.110001,194.608002,92700
2021-06-24,196.029999,196.550003,194.880005,196.220001,196.220001,193100
2021-06-25,196.979996,197.490005,196.449997,196.759995,196.759995,88900
2021-06-28,197.210007,197.210007,194.910004,195.679993,195.679993,104900
2021-06-29,196.160004,196.759995,195.039993,195.100006,195.100006,175800
2021-06-30,195.100006,196.720001,194.919998,196.449997,196.449997,205200
2021-07-01,197.369995,197.850006,196.990005,197.649994,197.649994,120700
2021-07-02,197.929993,198.179993,197.050003,197.770004,197.770004,89400
2021-07-06,197.600006,197.600006,193.929993,195.899994,195.899994,105300
2021-07-07,195.479996,197.529999,195.139999,197.330002,197.330002,92300
2021-07-08,193.929993,195.979996,193.119995,194.630005,194.630005,192600
2021-07-09,196.589996,198.000000,196.500000,197.850006,197.850006,102400
2021-07-12,197.000000,198.160004,196.179993,198.160004,198.160004,765200
2021-07-13,197.419998,197.710007,195.850006,196.020004,196.020004,454400
2021-07-14,196.660004,197.240005,194.899994,195.380005,195.380005,116900
2021-07-15,194.350006,196.380005,194.050003,195.669998,195.669998,98400
2021-07-16,196.539993,196.539993,193.580002,193.770004,193.770004,113300
2021-07-19,190.520004,191.009995,187.990005,189.949997,189.949997,226500
2021-07-20,190.580002,195.690002,190.580002,195.240005,195.240005,98200
2021-07-21,196.250000,198.070007,196.250000,197.339996,197.339996,759900
2021-07-22,197.529999,197.529999,195.979996,196.259995,196.259995,141500
2021-07-23,197.179993,197.490005,196.149994,197.229996,197.229996,169900
2021-07-26,197.029999,197.449997,196.229996,197.289993,197.289993,99800
2021-07-27,196.199997,197.020004,195.000000,196.300003,196.300003,61000
2021-07-28,196.669998,197.190002,194.839996,196.229996,196.229996,162300
2021-07-29,197.410004,198.399994,196.729996,197.710007,197.710007,76400
2021-07-30,196.910004,197.889999,196.740005,197.330002,197.330002,59500
2021-08-02,197.990005,200.000000,195.979996,196.000000,196.000000,119100
2021-08-03,196.729996,198.460007,194.820007,198.389999,198.389999,104700
2021-08-04,197.149994,197.789993,195.649994,195.649994,195.649994,90800
2021-08-05,196.309998,197.529999,196.059998,196.770004,196.770004,118200
2021-08-06,197.910004,198.389999,197.309998,197.589996,197.589996,84300
2021-08-09,197.149994,197.320007,196.009995,196.839996,196.839996,69100
2021-08-10,197.250000,199.169998,196.940002,198.660004,198.660004,207700
2021-08-11,199.289993,201.190002,198.500000,201.130005,201.130005,84700
2021-08-12,201.050003,201.589996,199.949997,200.830002,200.830002,95400
2021-08-13,200.940002,201.089996,199.759995,199.880005,199.880005,100500
2021-08-16,199.289993,200.289993,198.000000,200.279999,200.279999,119800
2021-08-17,198.910004,199.000000,196.100006,198.070007,198.070007,110500
2021-08-18,197.229996,198.289993,195.809998,195.929993,195.929993,58200
2021-08-19,194.240005,195.619995,193.350006,194.369995,194.369995,146900
2021-08-20,194.440002,195.679993,194.050003,195.210007,195.210007,293100
2021-08-23,196.309998,197.550003,196.270004,197.000000,197.000000,240700
2021-08-24,197.529999,198.759995,197.529999,198.119995,198.119995,54300
2021-08-25,198.360001,200.070007,197.750000,199.399994,199.399994,65600
2021-08-26,199.220001,199.399994,197.970001,198.389999,198.389999,79600
2021-08-27,199.070007,200.559998,199.070007,200.229996,200.229996,168500
2021-08-30,200.720001,200.720001,199.559998,199.899994,199.899994,56100
2021-08-31,199.899994,200.139999,198.839996,199.210007,199.210007,75200
2021-09-01,199.809998,199.809998,197.880005,198.869995,198.869995,96400
2021-09-02,199.830002,201.070007,199.660004,200.919998,200.919998,64500
2021-09-03,200.699997,200.699997,199.559998,199.570007,199.570007,55800
2021-09-07,199.130005,199.130005,196.520004,196.600006,196.600006,133200
2021-09-08,196.089996,196.979996,195.220001,196.529999,196.529999,109500
2021-09-09,196.110001,197.419998,195.250000,195.699997,195.699997,127800
2021-09-10,196.820007,196.820007,194.539993,194.559998,194.559998,74600
2021-09-13,196.039993,196.320007,193.910004,195.210007,195.210007,89100
2021-09-14,195.860001,195.869995,192.360001,192.729996,192.729996,112000
2021-09-15,192.669998,195.130005,192.500000,194.839996,194.839996,91200
2021-09-16,194.839996,195.000000,193.360001,193.699997,193.699997,50900
2021-09-17,193.220001,193.559998,191.580002,191.910004,191.910004,72200
2021-09-20,188.869995,189.820007,187.389999,189.630005,189.630005,172400
2021-09-21,190.800003,190.809998,187.990005,188.740005,188.740005,93400
2021-09-22,189.850006,192.009995,189.850006,190.729996,190.729996,255500
2021-09-23,191.830002,194.720001,191.600006,193.690002,193.690002,88600
2021-09-24,193.039993,194.429993,193.039993,194.059998,194.059998,63200
2021-09-27,194.429993,196.100006,194.429993,194.740005,194.740005,68800
2021-09-28,193.979996,194.429993,191.779999,192.169998,192.169998,72600
