Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,139.080002,140.419998,139.080002,140.389999,140.153214,61100
2021-06-08,140.919998,140.919998,139.289993,140.240005,140.003479,206600
2021-06-09,140.669998,140.899994,139.839996,139.839996,139.604141,378500
2021-06-10,140.130005,140.679993,139.369995,140.399994,140.163193,165000
2021-06-11,140.759995,140.869995,140.139999,140.869995,140.632401,93300
2021-06-14,140.949997,141.839996,140.860001,141.820007,141.580811,163200
2021-06-15,142.000000,142.050003,140.690002,140.910004,140.672333,96500
2021-06-16,141.000000,141.000000,138.589996,139.850006,139.614136,90200
2021-06-17,139.589996,141.440002,139.589996,140.789993,140.552536,83300
2021-06-18,140.039993,140.179993,139.259995,139.330002,139.095001,107700
2021-06-21,139.539993,140.589996,138.929993,140.509995,140.509995,120200
2021-06-22,140.479996,141.990005,140.190002,141.800003,141.800003,181200
2021-06-23,141.809998,142.600006,141.809998,142.080002,142.080002,94000
2021-06-24,142.889999,143.550003,142.880005,143.460007,143.460007,188100
2021-06-25,143.649994,144.009995,143.220001,143.850006,143.850006,313500
2021-06-28,144.050003,144.990005,143.440002,144.889999,144.889999,186200
2021-06-29,145.080002,145.080002,143.940002,144.139999,144.139999,380300
2021-06-30,143.990005,144.080002,143.300003,143.820007,143.820007,182700
2021-07-01,143.839996,144.949997,143.839996,144.649994,144.649994,237400
2021-07-02,145.250000,145.539993,144.679993,145.429993,145.429993,141600
2021-07-06,145.720001,146.000000,143.850006,145.059998,145.059998,175000
2021-07-07,145.559998,145.559998,143.949997,144.000000,144.000000,169200
2021-07-08,142.020004,143.410004,141.419998,142.669998,142.669998,535000
2021-07-09,142.899994,144.389999,142.869995,144.119995,144.119995,92000
2021-07-12,144.470001,144.929993,143.759995,144.850006,144.850006,270800
2021-07-13,144.789993,145.250000,143.899994,144.029999,144.029999,1593100
2021-07-14,144.940002,144.940002,143.259995,143.369995,143.369995,203000
2021-07-15,143.589996,143.589996,141.630005,142.529999,142.529999,129000
2021-07-16,142.960007,143.240005,141.199997,141.399994,141.399994,167700
2021-07-19,139.869995,139.929993,138.559998,139.399994,139.399994,153200
2021-07-20,140.009995,142.080002,139.229996,141.539993,141.539993,88200
2021-07-21,141.740005,142.830002,141.740005,142.809998,142.809998,95900
2021-07-22,142.770004,143.020004,141.910004,142.910004,142.910004,77800
2021-07-23,144.669998,147.160004,144.419998,146.820007,146.820007,235400
2021-07-26,146.759995,147.809998,146.589996,147.809998,147.809998,88600
2021-07-27,147.470001,147.660004,144.720001,146.000000,146.000000,149100
2021-07-28,147.389999,147.880005,146.570007,147.210007,147.210007,376200
2021-07-29,146.699997,147.039993,145.600006,145.600006,145.600006,81600
2021-07-30,144.610001,145.720001,144.259995,144.679993,144.679993,81800
2021-08-02,145.380005,145.380005,143.979996,144.250000,144.250000,188600
2021-08-03,144.429993,144.429993,142.089996,143.639999,143.639999,97200
2021-08-04,143.559998,143.970001,143.179993,143.729996,143.729996,88300
2021-08-05,144.029999,145.470001,143.820007,145.399994,145.399994,69800
2021-08-06,145.360001,145.770004,144.759995,144.970001,144.970001,125500
2021-08-09,145.039993,145.089996,144.220001,144.720001,144.720001,114100
2021-08-10,145.050003,145.149994,144.259995,144.570007,144.570007,667200
2021-08-11,144.869995,144.869995,144.039993,144.710007,144.710007,301700
2021-08-12,144.589996,145.110001,143.899994,145.080002,145.080002,203600
2021-08-13,145.380005,145.500000,144.779999,144.839996,144.839996,123900
2021-08-16,144.389999,144.889999,143.100006,144.889999,144.889999,83900
2021-08-17,143.869995,144.449997,142.580002,143.619995,143.619995,98900
2021-08-18,143.320007,144.279999,142.479996,142.669998,142.669998,79200
2021-08-19,141.619995,142.960007,141.350006,142.279999,142.279999,102100
2021-08-20,142.429993,144.000000,142.169998,143.820007,143.820007,60800
2021-08-23,144.369995,146.460007,144.369995,145.910004,145.910004,76700
2021-08-24,146.440002,147.139999,146.250000,146.759995,146.759995,197700
2021-08-25,146.910004,147.380005,146.589996,147.149994,147.149994,78900
2021-08-26,146.979996,147.309998,145.869995,145.889999,145.889999,124300
2021-08-27,146.229996,148.539993,146.229996,148.270004,148.270004,57800
2021-08-30,148.649994,149.699997,147.970001,149.350006,149.350006,326800
2021-08-31,149.339996,150.210007,149.009995,149.889999,149.889999,78100
2021-09-01,150.190002,151.270004,150.190002,150.660004,150.660004,117400
2021-09-02,151.059998,151.059998,149.839996,150.160004,150.160004,95800
2021-09-03,149.839996,150.160004,149.440002,149.990005,149.990005,87800
2021-09-07,150.220001,150.789993,149.979996,150.509995,150.509995,89600
2021-09-08,150.360001,150.559998,149.080002,149.610001,149.610001,89700
2021-09-09,149.360001,149.940002,148.910004,149.119995,149.119995,82300
2021-09-10,149.690002,149.720001,148.050003,148.080002,148.080002,73700
2021-09-13,149.050003,149.050003,147.800003,148.550003,148.550003,111100
2021-09-14,148.970001,149.039993,146.740005,146.919998,146.919998,101200
2021-09-15,147.009995,148.110001,145.910004,147.839996,147.839996,84500
2021-09-16,147.649994,148.270004,146.830002,147.779999,147.779999,82800
2021-09-17,147.610001,147.720001,145.869995,146.589996,146.589996,78100
2021-09-20,144.240005,144.509995,141.639999,143.440002,143.440002,168500
2021-09-21,144.429993,145.000000,143.050003,143.229996,143.229996,134200
2021-09-22,143.179993,144.490005,143.179993,143.729996,143.729996,125700
2021-09-23,144.550003,145.669998,144.300003,145.000000,145.000000,90500
2021-09-24,144.399994,146.259995,144.399994,146.020004,146.020004,58700
2021-09-27,145.429993,146.279999,144.919998,145.830002,145.830002,115000
2021-09-28,144.300003,144.699997,141.850006,141.850006,141.850006,95500
